2019-06-28 14:10:51,882 INFO  OverrideDubboConfigApplicationListener:68 -Dubbo Config was overridden by externalized configuration {dubbo.accesslog=true, dubbo.application.id=dubbo-consumer, dubbo.application.name=dubbo-consumer, dubbo.application.qos-enable=false, dubbo.center.port=20882, dubbo.center.specificProvider=, dubbo.config.multiple=true, dubbo.consumer.check=false, dubbo.consumer.retries=${dubbo.retry}, dubbo.consumer.timeout=${dubbo.timeout}, dubbo.consumer.version=1.0.0, dubbo.coupon.port=20884, dubbo.dispatcher=message, dubbo.monitor.protocol=registry, dubbo.port=20881, dubbo.protocol=zookeeper, dubbo.registry.address=zookeeper://127.0.0.1:2181, dubbo.registry.protocol=${dubbo.protocol}, dubbo.report.port=20883, dubbo.report.specificProvider=, dubbo.retry=1, dubbo.scan.base-packages=com.ross.dubbo.consumer, dubbo.specificProvider=, dubbo.threads=500, dubbo.timeout=10000, dubbo.zookeeper=zookeeper://192.168.14.234:2181}
2019-06-28 14:10:51,898 INFO  ConsumerApplication:650 -The following profiles are active: dev
2019-06-28 14:10:52,195 INFO  DubboConfigBindingRegistrar:127 -The dubbo config bean definition [name : dubbo-consumer, class : org.apache.dubbo.config.ApplicationConfig] has been registered.
2019-06-28 14:10:52,196 INFO  DubboConfigBindingRegistrar:151 -The BeanPostProcessor bean definition [org.apache.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : dubbo-consumer] has been registered.
2019-06-28 14:10:52,196 INFO  DubboConfigBindingRegistrar:127 -The dubbo config bean definition [name : org.apache.dubbo.config.RegistryConfig#0, class : org.apache.dubbo.config.RegistryConfig] has been registered.
2019-06-28 14:10:52,197 INFO  DubboConfigBindingRegistrar:151 -The BeanPostProcessor bean definition [org.apache.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : org.apache.dubbo.config.RegistryConfig#0] has been registered.
2019-06-28 14:10:52,197 INFO  DubboConfigBindingRegistrar:127 -The dubbo config bean definition [name : org.apache.dubbo.config.MonitorConfig#0, class : org.apache.dubbo.config.MonitorConfig] has been registered.
2019-06-28 14:10:52,198 INFO  DubboConfigBindingRegistrar:151 -The BeanPostProcessor bean definition [org.apache.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : org.apache.dubbo.config.MonitorConfig#0] has been registered.
2019-06-28 14:10:52,198 INFO  DubboConfigBindingRegistrar:127 -The dubbo config bean definition [name : org.apache.dubbo.config.ConsumerConfig#0, class : org.apache.dubbo.config.ConsumerConfig] has been registered.
2019-06-28 14:10:52,199 INFO  DubboConfigBindingRegistrar:151 -The BeanPostProcessor bean definition [org.apache.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : org.apache.dubbo.config.ConsumerConfig#0] has been registered.
2019-06-28 14:10:52,329 INFO  ConfigurationClassPostProcessor:380 -Cannot enhance @Configuration bean definition 'org.apache.dubbo.spring.boot.autoconfigure.DubboRelaxedBinding2AutoConfiguration' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
2019-06-28 14:10:52,329 INFO  ConfigurationClassPostProcessor:380 -Cannot enhance @Configuration bean definition 'org.apache.dubbo.spring.boot.autoconfigure.DubboAutoConfiguration' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
2019-06-28 14:10:52,390 INFO  GenericScope:295 -BeanFactory id=7769a1f3-d645-315e-ba59-127ee273c4ef
2019-06-28 14:10:52,391 INFO  ConfigurationClassEnhancer:355 -@Bean method ConfigToolkitEnvironmentAutoConfiguration.springValueProcessor is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-06-28 14:10:52,433 INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 -Bean 'relaxedDubboConfigBinder' of type [org.apache.dubbo.spring.boot.autoconfigure.BinderDubboConfigBinder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-28 14:10:52,439 INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 -Bean 'relaxedDubboConfigBinder' of type [org.apache.dubbo.spring.boot.autoconfigure.BinderDubboConfigBinder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
